SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
112,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Eudromia_formosa,Quebracho Crested-tinamou,30,0,0,0,0,0,0,0,40,30,PlantSeed,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,772.93,PrimScale,1,MarceloR,NA
113,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamotis_pentlandii,Puna Tinamou,0,0,0,0,0,0,0,0,40,60,PlantSeed,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,650,Dunning08,1,NA,NA
114,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamotis_ingoufi,Patagonian Tinamou,0,0,0,0,0,0,0,0,40,60,PlantSeed,Ref_1,D1,Jennifer,0,0,60,40,0,0,0,0,Ref_1,1,Jessica,0,730,PrimScale,1,MarceloR,NA
137,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_vetula,Plain Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,562.6,Dunning08,1,NA,NA
138,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_cinereiceps,Grey-headed Chachalaca,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,493,Dunning08,1,NA,NA
139,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_garrula,Chestnut-winged Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,D1,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,532,Dunning08,1,NA,NA
140,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_ruficauda,Rufous-vented Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,586.24,Dunning08,1,NA,NA
142,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_erythroptera,Rufous-headed Chachalaca,0,0,0,0,0,0,50,0,0,50,Omnivore,Ref_2,C,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,632,Dunning08,1,NA,NA
143,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_wagleri,Rufous-bellied Chachalaca,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,833.99,Dunning08,1,NA,NA
144,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_poliocephala,West Mexican Chachalaca,0,0,0,0,0,0,30,0,30,40,PlantSeed,Ref_2,A,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,760,Dunning08,1,NA,NA
