ID,longitude,latitude,timestamp
191545.1,-121.935257,38.13697052,5/25/2019 8:58
191545.1,-121.9352646,38.13696671,5/25/2019 9:28
191545.1,-121.9352722,38.13700485,5/25/2019 9:58
191545.1,-121.9353104,38.13700104,5/25/2019 10:28
191545.1,-121.9353333,38.13700485,5/25/2019 10:58
191545.1,-121.9352493,38.13696671,5/25/2019 11:28
191545.1,-121.935318,38.13699341,5/25/2019 11:58
191545.1,-121.9452591,38.1353569,5/25/2019 12:28
191545.1,-121.9449615,38.13520432,5/25/2019 12:58
191545.1,-121.9445648,38.13458252,5/25/2019 13:28
191545.1,-121.9438324,38.13448715,5/25/2019 13:59
191545.1,-121.9438553,38.13446045,5/25/2019 14:28
191545.1,-121.9438782,38.13442612,5/25/2019 14:58
191545.1,-121.9438324,38.13446808,5/25/2019 15:28
191545.1,-121.9455414,38.13526917,5/25/2019 15:59
191545.1,-121.945549,38.13532639,5/25/2019 16:28
191545.1,-121.9456482,38.13536835,5/25/2019 16:58
191545.1,-121.9455719,38.13534546,5/25/2019 17:28
191545.1,-121.9454956,38.13527679,5/25/2019 17:58
191545.1,-121.9455185,38.13528442,5/25/2019 18:28
191545.1,-121.9455948,38.13536453,5/25/2019 18:58
191545.1,-121.9455719,38.13535309,5/25/2019 19:29
191545.1,-121.9452057,38.13544846,5/25/2019 19:58
191545.1,-121.9457779,38.13576889,5/25/2019 20:28
191545.1,-121.9457474,38.13575363,5/25/2019 20:58
191545.1,-121.9443436,38.13581848,5/25/2019 21:28
191545.1,-121.9443283,38.13586426,5/25/2019 21:58
191545.1,-121.9444046,38.13582993,5/25/2019 22:28
191545.1,-121.9452972,38.13551712,5/25/2019 22:59
191545.1,-121.9452438,38.13540649,5/25/2019 23:28
191545.1,-121.9456024,38.13523865,5/25/2019 23:58
191545.1,-121.9457474,38.13524628,5/26/2019 0:28
191545.1,-121.945755,38.13527679,5/26/2019 0:58
191545.1,-121.9457092,38.13516617,5/26/2019 1:28
191545.1,-121.9457703,38.13532257,5/26/2019 1:58
191545.1,-121.9456787,38.13528061,5/26/2019 2:28
191545.1,-121.9442673,38.13562012,5/26/2019 2:59
191545.1,-121.9441681,38.13558197,5/26/2019 3:28
191545.1,-121.9442291,38.13565063,5/26/2019 3:58
191545.1,-121.9443207,38.13566589,5/26/2019 4:29
191545.1,-121.9442444,38.13565826,5/26/2019 4:59
191545.1,-121.944313,38.13568497,5/26/2019 5:28
191545.1,-121.944252,38.13568115,5/26/2019 5:58
191545.1,-121.9442825,38.13568878,5/26/2019 6:28
191545.1,-121.9442596,38.13565826,5/26/2019 6:58
191545.1,-121.9442596,38.13573074,5/26/2019 7:28
191545.1,-121.9442825,38.13567352,5/26/2019 7:58
191545.1,-121.9440308,38.13571548,5/26/2019 8:28
191545.1,-121.9440689,38.13563156,5/26/2019 8:58
191545.1,-121.9441223,38.13571167,5/26/2019 9:29
191545.1,-121.9440918,38.13568497,5/26/2019 9:58
191545.1,-121.9441071,38.13567734,5/26/2019 10:28
191545.1,-121.9440918,38.13567734,5/26/2019 10:58
191545.1,-121.944191,38.13574219,5/26/2019 11:28
191545.1,-121.9441147,38.13567734,5/26/2019 11:58
191545.1,-121.9440994,38.13569641,5/26/2019 12:28
191545.1,-121.945549,38.13526154,5/26/2019 12:58
191545.1,-121.9457016,38.13529587,5/26/2019 13:28
191545.1,-121.94561,38.13551712,5/26/2019 13:59
191545.1,-121.9447632,38.13565826,5/26/2019 14:28
191545.1,-121.9455338,38.13457108,5/26/2019 14:58
191545.1,-121.9455338,38.13453674,5/26/2019 15:28
191545.1,-121.945549,38.13457108,5/26/2019 15:58
191545.1,-121.945488,38.13462067,5/26/2019 16:28
191545.1,-121.9455414,38.13453674,5/26/2019 16:59
191545.1,-121.9455643,38.13456726,5/26/2019 17:28
191545.1,-121.944252,38.1361351,5/26/2019 17:58
